Sr no.,atomic_number,element_symbol,element_name,property
1,1,H,Hydrogen,Non-Metal
2,2,He,Helium,Noble Gas
3,3,Li,Lithium,Alkali Metal
4,4,Be,Beryllium,Alkaline Earth Metal
5,5,B,Boron,Metalloid
6,6,C,Carbon,Non-Metal
7,7,N,Nitrogen,Non-Metal
8,8,O,Oxygen,Non-Metal
9,9,F,Fluorine,Halogen
10,10,Ne,Neon,Noble Gas
11,11,Na,Sodium,Alkali Metal
12,12,Mg,Magnesium,Alkaline Earth Metal
13,13,Al,Aluminium,Metal
14,14,Si,Silicon,Metalloid
15,15,P,Phosphorus,Non-Metal
16,16,S,Sulfur,Non-Metal
17,17,Cl,Chlorine,Halogen
18,18,Ar,Argon,Noble Gas
19,19,K,Potassium,Alkali Metal
20,20,Ca,Calcium,Alkaline Earth Metal
21,21,Sc,Scandium,Transition Metal
22,22,Ti,Titanium,Transition Metal
23,23,V,Vanadium,Transition Metal
24,24,Cr,Chromium,Transition Metal
25,25,Mn,Manganese,Transition Metal
26,26,Fe,Iron,Transition Metal
27,27,Co,Cobalt,Transition Metal
28,28,Ni,Nickel,Transition Metal
29,29,Cu,Copper,Transition Metal
30,30,Zn,Zinc,Transition Metal
31,31,Ga,Gallium,Metal
32,32,Ge,Germanium,Metalloid
33,33,As,Arsenic,Metalloid
34,34,Se,Selenium,Non-Metal
35,35,Br,Bromine,Halogen
36,36,Kr,Krypton,Noble Gas
37,37,Rb,Rubidium,Alkali Metal
38,38,Sr,Strontium,Alkaline Earth Metal
39,39,Y,Yttrium,Transition Metal
40,40,Zr,Zirconium,Transition Metal
41,41,Nb,Niobium,Transition Metal
42,42,Mo,Molybdenum,Transition Metal
43,43,Tc,Technetium,Transition Metal
44,44,Ru,Ruthenium,Transition Metal
45,45,Rh,Rhodium,Transition Metal
46,46,Pd,Palladium,Transition Metal
47,47,Ag,Silver,Transition Metal
48,48,Cd,Cadmium,Transition Metal
49,49,In,Indium,Metal
50,50,Sn,Tin,Metal
51,51,Sb,Antimony,Metalloid
52,52,Te,Tellurium,Metalloid
53,53,I,Iodine,Halogen
54,54,Xe,Xenon,Noble Gas
55,55,Cs,Cesium,Alkali Metal
56,56,Ba,Barium,Alkaline Earth Metal
57,57,La,Lanthanum,Lanthanoid
58,58,Ce,Cerium,Lanthanoid
59,59,Pr,Praseodymium,Lanthanoid
60,60,Nd,Neodymium,Lanthanoid
61,61,Pm,Promethium,Lanthanoid
62,62,Sm,Samarium,Lanthanoid
63,63,Eu,Europium,Lanthanoid
64,64,Gd,Gadolinium,Lanthanoid
65,65,Tb,Terbium,Lanthanoid
66,66,Dy,Dysprosium,Lanthanoid
67,67,Ho,Holmium,Lanthanoid
68,68,Er,Erbium,Lanthanoid
69,69,Tm,Thulium,Lanthanoid
70,70,Yb,Ytterbium,Lanthanoid
71,71,Lu,Lutetium,Transition Metal
72,72,Hf,Hafnium,Transition Metal
73,73,Ta,Tantalum,Transition Metal
74,74,W,Tungsten,Transition Metal
75,75,Re,Rhenium,Transition Metal
76,76,Os,Osmium,Transition Metal
77,77,Ir,Iridium,Transition Metal
78,78,Pt,Platinum,Transition Metal
79,79,Au,Gold,Transition Metal
80,80,Hg,Mercury,Transition Metal
81,81,Tl,Thallium,Metal
82,82,Pb,Lead,Metal
83,83,Bi,Bismuth,Metal
84,84,Po,Polonium,Metalloid
85,85,At,Astatine,Halogen
86,86,Rn,Radon,Noble Gas
87,87,Fr,Francium,Alkali Metal
88,88,Ra,Radium,Alkaline Earth Metal
89,89,Ac,Actinium,Actinoid
90,90,Th,Thorium,Actinoid
91,91,Pa,Protactinium,Actinoid
92,92,U,Uranium,Actinoid
93,93,Np,Neptunium,Actinoid
94,94,Pu,Plutonium,Actinoid
95,95,Am,Americium,Actinoid
96,96,Cm,Curium,Actinoid
97,97,Bk,Berkelium,Actinoid
98,98,Cf,Californium,Actinoid
99,99,Es,Einsteinium,Actinoid
100,100,Fm,Fermium,Actinoid
101,101,Md,Mendelevium,Actinoid
102,102,No,Nobelium,Actinoid
103,103,Lr,Lawrencium,Transition Metal
104,104,Rf,Rutherfordium,Transition Metal
105,105,Db,Dubnium,Transition Metal
106,106,Sg,Seaborgium,Transition Metal
107,107,Bh,Bohrium,Transition Metal
108,108,Hs,Hassium,Transition Metal
109,109,Mt,Meitnerium,Transition Metal
110,110,Ds,Darmstadtium,Transition Metal
111,111,Rg,Roentgenium,Transition Metal
112,112,Cn,Copernicium,Transition Metal
113,113,Uut,Ununtrium,Metal
114,114,Uuq,Ununquadium,Metal
115,115,Uup,Ununpentium,Halogen
116,116,Uuh,Ununhexium,Noble Gas
117,117,Uus,Ununseptium,Alkali Metal
118,118,Uuo,Ununoctium,Alkaline Earth Metal
